t_Android;t_unix;steps;a
126953631552746;1764844897578;24185.0;3
126954128679778;1764844898094;24185.0;3
126954626652382;1764844898594;24185.0;3
126955122971392;1764844899080;24185.0;3
126955620097642;1764844899576;24185.0;3
126956614393684;1764844900588;24185.0;3
126957111529100;1764844901066;24203.0;3
126957608673892;1764844901572;24203.0;3
126958106403163;1764844902050;24203.0;3
126958602966809;1764844902548;24203.0;3
126959597421288;1764844903553;24203.0;3
126960094382694;1764844904051;24203.0;3
126960591517798;1764844904556;24203.0;3
126961088676132;1764844905063;24203.0;3
126961586582307;1764844905541;24203.0;3
126962580102723;1764844906531;24203.0;3
126963077247775;1764844907030;24203.0;3
126963574386786;1764844907533;24203.0;3
126964071534025;1764844908020;24203.0;3
126964568673869;1764844908519;24203.0;3
126965066570640;1764844909018;24203.0;3
126965562964390;1764844909519;24203.0;3
126966060109234;1764844910018;24203.0;3
126966557474234;1764844910511;24203.0;3
126967054410484;1764844911005;24221.0;3
126968048719390;1764844912009;24221.0;3
126968546589859;1764844912509;24221.0;3
126969043017098;1764844913002;24221.0;3
126969540172828;1764844913504;24221.0;3
126970037317619;1764844913982;24221.0;3
126970534474703;1764844914479;24221.0;3
126971031632932;1764844915002;24221.0;3
126971528784546;1764844915482;24221.0;3
126972026708244;1764844915983;24221.0;3
126972523089755;1764844916476;24221.0;3
126973020236734;1764844916970;24221.0;3
126973517389234;1764844917479;24221.0;3
126974014536525;1764844917968;24221.0;3
126974511691994;1764844918462;24221.0;3
126975008843609;1764844918973;24221.0;3
126975506722203;1764844919452;24221.0;3
126976500345692;1764844920452;24221.0;3
126976997569025;1764844920955;24238.0;3
126977494611265;1764844921446;24238.0;3
126977991770119;1764844921937;24238.0;3
126978488916786;1764844922441;24238.0;3
126978986848400;1764844922941;24238.0;3
126979483220275;1764844923450;24238.0;3
126979980356421;1764844923930;24238.0;3
126980974661369;1764844924938;24238.0;3
126981471825900;1764844925417;24238.0;3
126981968972307;1764844925936;24238.0;3
126982466840640;1764844926438;24238.0;3
126982963258713;1764844926921;24238.0;3
126983957579650;1764844927911;24238.0;3
126984454730067;1764844928399;24238.0;3
126984951881421;1764844928910;24238.0;3
126985946915744;1764844929906;24238.0;3
126986443339911;1764844930420;24238.0;3
126986940496265;1764844930888;24256.0;3
126987437651369;1764844931402;24256.0;3
126987934788609;1764844931880;24256.0;3
126988431954286;1764844932390;24256.0;3
126988929100848;1764844932878;24256.0;3
126989427036473;1764844933379;24256.0;3
126989923401369;1764844933882;24256.0;3
126990420563244;1764844934383;24256.0;3
126990917712255;1764844934865;24256.0;3
126991414853765;1764844935367;24256.0;3
126991912014755;1764844935878;24256.0;3
126992906350171;1764844936851;24256.0;3
126993403468609;1764844937358;24256.0;3
126993900606213;1764844937850;24256.0;3
126994397772046;1764844938368;24256.0;3
126994894917150;1764844938844;24256.0;3
126995392060171;1764844939359;24256.0;3
126995889222984;1764844939850;24256.0;3
126996884173765;1764844940849;24274.0;3
126997380685640;1764844941339;24274.0;3
126997877823505;1764844941830;24274.0;3
126998374968088;1764844942337;24274.0;3
126998872115380;1764844942817;24274.0;3
126999369269703;1764844943328;24274.0;3
126999867059130;1764844943811;24274.0;3
127000860852307;1764844944821;24274.0;3
127001357863453;1764844945310;24274.0;3
127001855022567;1764844945819;24274.0;3
127002849305275;1764844946814;24274.0;3
127003346499859;1764844947297;24274.0;3
127003843620484;1764844947802;24274.0;3
127004340756057;1764844948296;24274.0;3
127004837912046;1764844948792;24274.0;3
127005335657619;1764844949304;24274.0;3
127005832206838;1764844949790;24274.0;3
127006329354650;1764844950298;24274.0;3
127006826588348;1764844950786;24292.0;3
127007323644234;1764844951281;24292.0;3
127007820804025;1764844951780;24292.0;3
127008317934390;1764844952268;24292.0;3
127009312258557;1764844953276;24292.0;3
127009809394546;1764844953766;24292.0;3
127010306568453;1764844954254;24292.0;3
127010803696578;1764844954753;24292.0;3
127011300839078;1764844955259;24292.0;3
127011797989286;1764844955743;24292.0;3
127012295135536;1764844956260;24292.0;3
127012792380588;1764844956750;24292.0;3
127013289418505;1764844957242;24292.0;3
127013787744338;1764844957758;24292.0;3
